Taxonomy,blz-1_rur,blz-1_urb,brb-1,cub-1_rur,cub-1_urb,dom-4_rur,dom-4_urb,gtm-1_rur,gtm-1_urb,hnd-2_rur,hnd-2_urb,jam-1_rur,jam-1_urb,nic-2_rur,nic-2_urb,pan-3_rur,pan-3_urb,slv-2_rur,slv-2_urb,tto-1_rur,tto-1_urb
CR+PC/LWAL+DNO/HEX:1,,,,,,,,,,,,,,1809.0,842.5,,,,,,
CR+PC/LWAL+DUC/HEX:1,,,,,,,,,,,,,,1016.0,8347.5,,,,,,
"CR/LDUAL+DUC/HBET:6,10",,,,,198582.10000000003,,10336.3,,18303.40000000001,,21652.699999999993,,,,1541.999999999999,,18169.8,,4973.900000000001,,
CR/LFINF+DNO/HEX:2,1447.5,946.0999999999999,331.6,52950.2,22064.600000000002,13782.600000000002,78675.29999999999,16936.999999999993,16952.200000000015,,39246.49999999999,42034.5,66862.09999999999,342.4999999999999,3380.599999999999,85.80000000000004,3169.800000000001,339.8999999999999,8584.300000000007,1042.0,2744.2999999999997
CR/LFINF+DNO/HEX:3,1199.0,780.8,211.4,33094.700000000004,154452.69999999992,1729.5999999999997,19245.099999999995,11292.200000000003,11300.900000000012,,38614.2,4965.900000000001,66862.09999999999,335.59999999999997,1253.8999999999992,56.80000000000005,4227.0,,5751.5,521.0000000000001,1517.9
CR/LFINF+DNO/HEX:4,,393.29999999999995,12.9,19856.899999999994,242710.80000000002,,14791.3,,7321.600000000008,,38614.2,,10011.699999999999,167.7999999999999,1953.5000000000005,29.60000000000001,11340.199999999997,,2300.6,,910.7000000000002
CR/LFINF+DNO/HEX:5,,393.29999999999995,12.9,13238.300000000003,242710.80000000002,,14791.3,,7321.600000000008,,23168.400000000016,,10011.699999999999,167.7999999999999,1953.5000000000005,29.60000000000001,9226.099999999995,,2300.6,,910.7000000000002
CR/LFINF+DUC/HEX:2,,1586.6000000000001,211.4,,22064.600000000002,,64016.29999999998,,3661.4999999999927,,15517.099999999993,,66862.09999999999,,391.79999999999995,,,,43619.799999999996,,3922.7
CR/LFINF+DUC/HEX:3,,1579.8,211.4,,44128.59999999997,471.49999999999994,22899.500000000007,,7321.600000000008,,31034.199999999986,,66862.09999999999,,288.09999999999997,,,,745.4000000000001,,607.0000000000001
CR/LFINF+DUC/HEX:4,,393.29999999999995,12.9,,110323.40000000008,,22899.500000000007,,14643.200000000015,,15517.099999999993,,10011.699999999999,,359.7999999999997,,6056.600000000001,,372.70000000000005,,303.50000000000006
CR/LFINF+DUC/HEX:5,,393.29999999999995,12.9,,110323.40000000008,,22899.500000000007,,14643.200000000015,,9310.400000000001,,10011.699999999999,,719.5999999999995,,12113.200000000003,,186.19999999999996,,303.50000000000006
CR/LFM+DNO/HEX:1,963.8000000000001,629.7,1063.3,13238.300000000003,22064.600000000002,8916.600000000004,46165.10000000001,15651.500000000002,20071.19999999999,10473.600000000006,,77696.29999999999,54093.79999999999,3368.5999999999976,3272.1000000000004,711.8000000000001,12.800000000000002,21262.000000000004,,4078.4999999999995,3261.6
CR/LFM+DNO/HEX:2,2643.4999999999995,1551.1,1153.0,13238.300000000003,22064.600000000002,12213.700000000004,78675.29999999999,1452.4,2923.199999999996,10473.600000000006,,90111.2,103027.59999999999,347.6000000000001,2263.099999999999,175.10000000000002,1.0,9704.800000000001,,3165.3,14149.699999999999
MCF/LWAL+DNO/HEX:1,2458.4999999999995,1606.3999999999999,5468.2,39712.499999999985,22064.600000000002,50508.69999999994,121632.1000000001,56455.899999999965,56509.39999999988,7691.4000000000015,38614.2,131070.00000000001,67400.79999999999,3381.999999999999,42646.5,14876.400000000014,71252.79999999999,5006.000000000003,18372.599999999995,4317.400000000001,6443.2
MCF/LWAL+DNO/HEX:2,2458.4999999999995,1606.3999999999999,5468.2,33094.700000000004,22064.600000000002,31403.900000000012,169443.39999999997,28228.600000000017,28254.099999999995,3076.5000000000005,19308.299999999992,84069.3,67131.5,1234.3999999999999,17925.1,1239.500000000001,23613.300000000003,1244.5000000000005,9186.299999999997,2944.900000000001,14076.099999999999
MCF/LWAL+DNO/HEX:3,504.70000000000005,330.09999999999997,2035.1,33094.700000000004,66193.99999999997,2527.8999999999987,27355.100000000002,16936.999999999993,16952.200000000015,,19308.299999999992,34585.600000000006,39892.100000000006,655.7,8375.000000000002,1382.8000000000015,23613.300000000003,619.6000000000003,4966.499999999997,521.0000000000001,3035.5
MCF/LWAL+DUC/HEX:1,,1599.3999999999999,1695.4999999999998,,22064.600000000002,14358.900000000003,65274.40000000002,,112965.3,,38792.3,,36981.80000000001,2868.0999999999995,9188.2,,81187.39999999998,,28026.899999999987,3.1999999999999997,2494.299999999999
MCF/LWAL+DUC/HEX:2,,1599.3999999999999,1695.4999999999998,,22064.600000000002,5876.200000000002,99511.19999999995,,33889.19999999998,,23275.20000000001,,36981.80000000001,573.4999999999998,12251.599999999997,,23196.60000000001,,13836.999999999998,,4262.399999999998
MCF/LWAL+DUC/HEX:3,,804.2,932.3999999999997,,22064.600000000002,1255.500000000001,34571.70000000002,,22593.099999999977,,7759.199999999995,,15987.899999999998,382.80000000000024,4288.499999999999,,28996.100000000002,,5711.599999999996,,1517.9
MR/LWAL+DNO/HEX:1,981.7,639.6,5512.700000000001,39712.499999999985,110323.40000000008,11429.399999999996,121632.1000000001,62269.000000000015,68202.09999999992,54363.30000000003,66049.6,149393.9,83955.70000000003,10606.299999999994,62101.8,128392.00000000001,154302.6,9295.199999999999,240795.19999999998,7743.4000000000015,20173.500000000004
MR/LWAL+DNO/HEX:2,981.7,639.6,5512.700000000001,66188.50000000001,110323.40000000008,5350.6,169443.39999999997,31135.40000000001,34101.7,11102.899999999998,36225.69999999998,90296.8,83955.70000000003,2059.9000000000005,28381.9,12211.499999999993,12859.900000000003,8627.199999999999,59836.89999999999,6559.499999999998,25406.0
MR/LWAL+DNO/HEX:3,248.50000000000003,162.6,1950.1999999999998,99282.4,110323.40000000008,2219.7,27355.100000000002,12743.60000000001,14225.600000000013,1133.9000000000005,10108.000000000007,34585.600000000006,39892.100000000006,1606.4999999999993,10477.300000000005,4256.600000000007,12859.900000000003,8534.300000000007,59473.500000000015,1377.7,7766.900000000001
MR/LWAL+DUC/HEX:1,,795.3000000000001,1163.9999999999998,,110323.40000000008,1331.4000000000003,61281.400000000016,,178199.99999999988,,103246.10000000002,,36981.80000000001,1912.3999999999994,17156.59999999999,,53996.70000000001,,121537.50000000003,6.799999999999999,2632.2999999999993
MR/LWAL+DUC/HEX:2,,795.3000000000001,1163.9999999999998,,110323.40000000008,665.2000000000012,95519.29999999997,,38265.20000000004,,71705.59999999999,,36981.80000000001,573.4999999999998,10949.499999999995,,12678.0,,59109.800000000025,23.0,4491.000000000002
