id,Region,Taxonomy,Dwellings
AREA # 01,Corozal,CR/LFINF+DNO/HEX:2,318.4
AREA # 01,Corozal,CR/LFINF+DNO/HEX:3,264.9
AREA # 01,Corozal,CR/LFM+DNO/HEX:1,212.2
AREA # 01,Corozal,CR/LFM+DNO/HEX:2,509.3
AREA # 01,Corozal,MCF/LWAL+DNO/HEX:1,548.8
AREA # 01,Corozal,MCF/LWAL+DNO/HEX:2,548.8
AREA # 01,Corozal,MCF/LWAL+DNO/HEX:3,114.7
AREA # 01,Corozal,MR/LWAL+DNO/HEX:1,220.4
AREA # 01,Corozal,MR/LWAL+DNO/HEX:2,220.4
AREA # 01,Corozal,MR/LWAL+DNO/HEX:3,55.5
AREA # 01,Corozal,MUR/LWAL+DNO/HEX:1,554.9
AREA # 01,Corozal,MUR/LWAL+DNO/HEX:2,547.7
AREA # 01,Corozal,UNK/HEX:1,99.7
AREA # 01,Corozal,W+WLI/LDUAL+DNO/HEX:1,539.7
AREA # 01,Corozal,W+WLI/LDUAL+DNO/HEX:2,436.6
AREA # 01,Corozal,W+WLI/LFM+DNO/HEX:2/SOS,428.5
AREA # 01,Corozal,W+WS/LPB+DNO/HEX:1,329.6
AREA # 01,Corozal,W+WS/LPB+DNO/HEX:2,151.8
AREA # 01,Corozal,W+WWD/LWAL+DNO/HEX:1,808.0
AREA # 02,Orange Walk,CR/LFINF+DNO/HEX:2,268.6
AREA # 02,Orange Walk,CR/LFINF+DNO/HEX:3,223.2
AREA # 02,Orange Walk,CR/LFM+DNO/HEX:1,179.0
AREA # 02,Orange Walk,CR/LFM+DNO/HEX:2,488.2
AREA # 02,Orange Walk,MCF/LWAL+DNO/HEX:1,451.3
AREA # 02,Orange Walk,MCF/LWAL+DNO/HEX:2,451.3
AREA # 02,Orange Walk,MCF/LWAL+DNO/HEX:3,91.3
AREA # 02,Orange Walk,MR/LWAL+DNO/HEX:1,180.3
AREA # 02,Orange Walk,MR/LWAL+DNO/HEX:2,180.3
AREA # 02,Orange Walk,MR/LWAL+DNO/HEX:3,45.4
AREA # 02,Orange Walk,MUR/LWAL+DNO/HEX:1,463.0
AREA # 02,Orange Walk,MUR/LWAL+DNO/HEX:2,450.0
AREA # 02,Orange Walk,UNK/HEX:1,200.0
AREA # 02,Orange Walk,W+WLI/LDUAL+DNO/HEX:1,859.5
AREA # 02,Orange Walk,W+WLI/LDUAL+DNO/HEX:2,617.1
