id,Region,Taxonomy,Dwellings
AREA # 01,St Michael,CR/LFINF+DNO/HEX:2,104.4
AREA # 01,St Michael,CR/LFINF+DNO/HEX:3,59.9
AREA # 01,St Michael,CR/LFINF+DNO/HEX:4,2.2
AREA # 01,St Michael,CR/LFINF+DNO/HEX:5,2.2
AREA # 01,St Michael,CR/LFINF+DUC/HEX:2,59.9
AREA # 01,St Michael,CR/LFINF+DUC/HEX:3,59.9
AREA # 01,St Michael,CR/LFINF+DUC/HEX:4,2.2
AREA # 01,St Michael,CR/LFINF+DUC/HEX:5,2.2
AREA # 01,St Michael,CR/LFM+DNO/HEX:1,381.1
AREA # 01,St Michael,CR/LFM+DNO/HEX:2,407.9
AREA # 01,St Michael,MCF/LWAL+DNO/HEX:1,1414.6
AREA # 01,St Michael,MCF/LWAL+DNO/HEX:2,1414.6
AREA # 01,St Michael,MCF/LWAL+DNO/HEX:3,506.6
AREA # 01,St Michael,MCF/LWAL+DUC/HEX:1,363.2
AREA # 01,St Michael,MCF/LWAL+DUC/HEX:2,363.2
AREA # 01,St Michael,MCF/LWAL+DUC/HEX:3,189.1
AREA # 01,St Michael,MR/LWAL+DNO/HEX:1,1660.1
AREA # 01,St Michael,MR/LWAL+DNO/HEX:2,1660.1
AREA # 01,St Michael,MR/LWAL+DNO/HEX:3,477.8
AREA # 01,St Michael,MR/LWAL+DUC/HEX:1,257.4
AREA # 01,St Michael,MR/LWAL+DUC/HEX:2,257.4
AREA # 01,St Michael,MR/LWAL+DUC/HEX:3,140.8
AREA # 01,St Michael,MUR+ST/LWAL+DNO/HEX:1,811.0
AREA # 01,St Michael,MUR/LWAL+DNO/HEX:1,2034.3
AREA # 01,St Michael,MUR/LWAL+DNO/HEX:2,2034.3
AREA # 01,St Michael,UNK/HEX:1,86.0
AREA # 01,St Michael,W+WLI/LDUAL+DNO/HEX:1,1779.9
AREA # 01,St Michael,W+WLI/LDUAL+DNO/HEX:2,1891.5
AREA # 01,St Michael,W+WLI/LFM+DNO/HEX:2/SOS,1280.7
AREA # 01,St Michael,W+WS/LPB+DNO/HEX:1,2288.0
AREA # 01,St Michael,W+WS/LPB+DNO/HEX:2,2288.0
AREA # 02,Christ Church,CR/LFINF+DNO/HEX:2,81.2
AREA # 02,Christ Church,CR/LFINF+DNO/HEX:3,46.0
AREA # 02,Christ Church,CR/LFINF+DNO/HEX:4,1.5
AREA # 02,Christ Church,CR/LFINF+DNO/HEX:5,1.5
AREA # 02,Christ Church,CR/LFINF+DUC/HEX:2,46.0
AREA # 02,Christ Church,CR/LFINF+DUC/HEX:3,46.0
AREA # 02,Christ Church,CR/LFINF+DUC/HEX:4,1.5
AREA # 02,Christ Church,CR/LFINF+DUC/HEX:5,1.5
AREA # 02,Christ Church,CR/LFM+DNO/HEX:1,175.6
AREA # 02,Christ Church,CR/LFM+DNO/HEX:2,187.3
AREA # 02,Christ Church,MCF/LWAL+DNO/HEX:1,1338.9
AREA # 02,Christ Church,MCF/LWAL+DNO/HEX:2,1338.9
AREA # 02,Christ Church,MCF/LWAL+DNO/HEX:3,489.7
AREA # 02,Christ Church,MCF/LWAL+DUC/HEX:1,378.7
AREA # 02,Christ Church,MCF/LWAL+DUC/HEX:2,378.7
AREA # 02,Christ Church,MCF/LWAL+DUC/HEX:3,204.9
AREA # 02,Christ Church,MR/LWAL+DNO/HEX:1,1160.1
AREA # 02,Christ Church,MR/LWAL+DNO/HEX:2,1160.1
AREA # 02,Christ Church,MR/LWAL+DNO/HEX:3,467.1
AREA # 02,Christ Church,MR/LWAL+DUC/HEX:1,267.7
AREA # 02,Christ Church,MR/LWAL+DUC/HEX:2,267.7
AREA # 02,Christ Church,MR/LWAL+DUC/HEX:3,148.1
AREA # 02,Christ Church,MUR+ST/LWAL+DNO/HEX:1,559.0
AREA # 02,Christ Church,MUR/LWAL+DNO/HEX:1,1563.9
AREA # 02,Christ Church,MUR/LWAL+DNO/HEX:2,1563.9
AREA # 02,Christ Church,UNK/HEX:1,42.0
AREA # 02,Christ Church,W+WLI/LDUAL+DNO/HEX:1,678.4
