id,Region,Taxonomy,Dwellings
AREA # 01090101,Moca,CR/LFINF+DNO/HEX:2,227.7
AREA # 01090101,Moca,CR/LFINF+DNO/HEX:3,4.4
AREA # 01090101,Moca,CR/LFINF+DUC/HEX:3,1.2
AREA # 01090101,Moca,CR/LFM+DNO/HEX:1,145.0
AREA # 01090101,Moca,CR/LFM+DNO/HEX:2,205.6
AREA # 01090101,Moca,MCF/LWAL+DNO/HEX:1,811.7
AREA # 01090101,Moca,MCF/LWAL+DNO/HEX:2,504.2
AREA # 01090101,Moca,MCF/LWAL+DNO/HEX:3,6.0
AREA # 01090101,Moca,MCF/LWAL+DUC/HEX:1,233.1
AREA # 01090101,Moca,MCF/LWAL+DUC/HEX:2,95.7
AREA # 01090101,Moca,MCF/LWAL+DUC/HEX:3,3.2
AREA # 01090101,Moca,MR/LWAL+DNO/HEX:1,185.0
AREA # 01090101,Moca,MR/LWAL+DNO/HEX:2,86.4
AREA # 01090101,Moca,MR/LWAL+DNO/HEX:3,5.0
AREA # 01090101,Moca,MR/LWAL+DUC/HEX:1,24.2
AREA # 01090101,Moca,MR/LWAL+DUC/HEX:2,12.1
AREA # 01090101,Moca,MR/LWAL+DUC/HEX:3,3.2
AREA # 01090101,Moca,MUR/LWAL+DNO/HEX:1,1540.4
AREA # 01090101,Moca,MUR/LWAL+DNO/HEX:2,1436.8
AREA # 01090101,Moca,UNK/HEX:1,55.2
AREA # 01090101,Moca,W+WBB/LWAL+DNO/HEX:1,183.4
AREA # 01090101,Moca,W+WLI/LDUAL+DNO/HEX:1,348.5
AREA # 01090101,Moca,W+WLI/LDUAL+DNO/HEX:2,170.4
AREA # 01090101,Moca,W+WLI/LFM+DNO/HEX:2/SOS,170.4
AREA # 01090101,Moca,W+WS/LPB+DNO/HEX:1,1077.3
AREA # 01090101,Moca,W+WS/LPB+DNO/HEX:2,337.8
AREA # 01090101,Moca,W+WWD/LWAL+DNO/HEX:1,5.0
AREA # 01090102,José Contreras (D.M.),CR/LFINF+DNO/HEX:2,9.2
AREA # 01090102,José Contreras (D.M.),CR/LFM+DNO/HEX:1,5.0
AREA # 01090102,José Contreras (D.M.),CR/LFM+DNO/HEX:2,5.8
AREA # 01090102,José Contreras (D.M.),MCF/LWAL+DNO/HEX:1,34.0
AREA # 01090102,José Contreras (D.M.),MCF/LWAL+DNO/HEX:2,22.2
AREA # 01090102,José Contreras (D.M.),MCF/LWAL+DUC/HEX:1,10.9
AREA # 01090102,José Contreras (D.M.),MCF/LWAL+DUC/HEX:2,4.4
AREA # 01090102,José Contreras (D.M.),MR/LWAL+DNO/HEX:1,2.4
AREA # 01090102,José Contreras (D.M.),MR/LWAL+DNO/HEX:2,1.1
AREA # 01090102,José Contreras (D.M.),MR/LWAL+DUC/HEX:1,0.3
AREA # 01090102,José Contreras (D.M.),MR/LWAL+DUC/HEX:2,0.2
AREA # 01090102,José Contreras (D.M.),MUR/LWAL+DNO/HEX:1,71.7
AREA # 01090102,José Contreras (D.M.),MUR/LWAL+DNO/HEX:2,65.7
AREA # 01090102,José Contreras (D.M.),UNK/HEX:1,6.0
AREA # 01090102,José Contreras (D.M.),W+WBB/LWAL+DNO/HEX:1,137.6
AREA # 01090102,José Contreras (D.M.),W+WLI/LDUAL+DNO/HEX:1,58.5
AREA # 01090102,José Contreras (D.M.),W+WLI/LDUAL+DNO/HEX:2,29.0
AREA # 01090102,José Contreras (D.M.),W+WLI/LFM+DNO/HEX:2/SOS,29.0
AREA # 01090102,José Contreras (D.M.),W+WS/LPB+DNO/HEX:1,246.9
AREA # 01090102,José Contreras (D.M.),W+WS/LPB+DNO/HEX:2,57.9
AREA # 01090103,San Víctor (D.M.),CR/LFINF+DNO/HEX:2,86.0
AREA # 01090103,San Víctor (D.M.),CR/LFINF+DNO/HEX:3,0.7
AREA # 01090103,San Víctor (D.M.),CR/LFINF+DUC/HEX:3,0.2
AREA # 01090103,San Víctor (D.M.),CR/LFM+DNO/HEX:1,50.6
AREA # 01090103,San Víctor (D.M.),CR/LFM+DNO/HEX:2,65.4
AREA # 01090103,San Víctor (D.M.),MCF/LWAL+DNO/HEX:1,312.0
AREA # 01090103,San Víctor (D.M.),MCF/LWAL+DNO/HEX:2,199.0
AREA # 01090103,San Víctor (D.M.),MCF/LWAL+DNO/HEX:3,1.1
AREA # 01090103,San Víctor (D.M.),MCF/LWAL+DUC/HEX:1,94.9
AREA # 01090103,San Víctor (D.M.),MCF/LWAL+DUC/HEX:2,38.6
AREA # 01090103,San Víctor (D.M.),MCF/LWAL+DUC/HEX:3,0.5
AREA # 01090103,San Víctor (D.M.),MR/LWAL+DNO/HEX:1,45.1
AREA # 01090103,San Víctor (D.M.),MR/LWAL+DNO/HEX:2,21.1
AREA # 01090103,San Víctor (D.M.),MR/LWAL+DNO/HEX:3,1.0
AREA # 01090103,San Víctor (D.M.),MR/LWAL+DUC/HEX:1,5.9
AREA # 01090103,San Víctor (D.M.),MR/LWAL+DUC/HEX:2,3.0
AREA # 01090103,San Víctor (D.M.),MR/LWAL+DUC/HEX:3,0.5
AREA # 01090103,San Víctor (D.M.),MUR/LWAL+DNO/HEX:1,641.8
AREA # 01090103,San Víctor (D.M.),MUR/LWAL+DNO/HEX:2,578.5
AREA # 01090103,San Víctor (D.M.),UNK/HEX:1,35.2
AREA # 01090103,San Víctor (D.M.),W+WBB/LWAL+DNO/HEX:1,223.4
AREA # 01090103,San Víctor (D.M.),W+WLI/LDUAL+DNO/HEX:1,258.7
AREA # 01090103,San Víctor (D.M.),W+WLI/LDUAL+DNO/HEX:2,127.6
AREA # 01090103,San Víctor (D.M.),W+WLI/LFM+DNO/HEX:2/SOS,127.6
AREA # 01090103,San Víctor (D.M.),W+WS/LPB+DNO/HEX:1,861.5
AREA # 01090103,San Víctor (D.M.),W+WS/LPB+DNO/HEX:2,254.1
AREA # 01090103,San Víctor (D.M.),W+WWD/LWAL+DNO/HEX:1,2.0
AREA # 01090104,Juan López (D.M.),CR/LFINF+DNO/HEX:2,94.9
AREA # 01090104,Juan López (D.M.),CR/LFINF+DNO/HEX:3,0.2
AREA # 01090104,Juan López (D.M.),CR/LFINF+DUC/HEX:3,0.0
AREA # 01090104,Juan López (D.M.),CR/LFM+DNO/HEX:1,64.9
