id,Region,Taxonomy,Dwellings
AREA # 01090101,Moca,"CR/LDUAL+DUC/HBET:6,10",82.6
AREA # 01090101,Moca,CR/LFINF+DNO/HEX:2,819.3
AREA # 01090101,Moca,CR/LFINF+DNO/HEX:3,158.0
AREA # 01090101,Moca,CR/LFINF+DNO/HEX:4,120.4
AREA # 01090101,Moca,CR/LFINF+DNO/HEX:5,120.4
AREA # 01090101,Moca,CR/LFINF+DUC/HEX:2,696.4
AREA # 01090101,Moca,CR/LFINF+DUC/HEX:3,184.2
AREA # 01090101,Moca,CR/LFINF+DUC/HEX:4,184.2
AREA # 01090101,Moca,CR/LFINF+DUC/HEX:5,184.2
AREA # 01090101,Moca,CR/LFM+DNO/HEX:1,445.3
AREA # 01090101,Moca,CR/LFM+DNO/HEX:2,819.3
AREA # 01090101,Moca,MCF/LWAL+DNO/HEX:1,1158.8
AREA # 01090101,Moca,MCF/LWAL+DNO/HEX:2,1709.7
AREA # 01090101,Moca,MCF/LWAL+DNO/HEX:3,221.8
AREA # 01090101,Moca,MCF/LWAL+DUC/HEX:1,683.1
AREA # 01090101,Moca,MCF/LWAL+DUC/HEX:2,1047.8
AREA # 01090101,Moca,MCF/LWAL+DUC/HEX:3,278.1
AREA # 01090101,Moca,MR/LWAL+DNO/HEX:1,1158.8
AREA # 01090101,Moca,MR/LWAL+DNO/HEX:2,1709.7
AREA # 01090101,Moca,MR/LWAL+DNO/HEX:3,221.8
AREA # 01090101,Moca,MR/LWAL+DUC/HEX:1,657.5
AREA # 01090101,Moca,MR/LWAL+DUC/HEX:2,1022.2
AREA # 01090101,Moca,MR/LWAL+DUC/HEX:3,274.3
AREA # 01090101,Moca,MUR/LWAL+DNO/HEX:1,942.1
AREA # 01090101,Moca,MUR/LWAL+DNO/HEX:2,791.1
AREA # 01090101,Moca,UNK/HEX:1,85.4
AREA # 01090101,Moca,W+WBB/LWAL+DNO/HEX:1,25.1
AREA # 01090101,Moca,W+WLI/LDUAL+DNO/HEX:1,173.5
AREA # 01090101,Moca,W+WLI/LDUAL+DNO/HEX:2,172.6
AREA # 01090101,Moca,W+WLI/LFM+DNO/HEX:2/SOS,154.2
AREA # 01090101,Moca,W+WS/LPB+DNO/HEX:1,672.1
AREA # 01090101,Moca,W+WS/LPB+DNO/HEX:2,457.0
AREA # 01090101,Moca,W+WWD/LWAL+DNO/HEX:1,2.0
AREA # 01090102,José Contreras (D.M.),CR/LFINF+DNO/HEX:2,14.9
AREA # 01090102,José Contreras (D.M.),CR/LFINF+DNO/HEX:3,0.2
AREA # 01090102,José Contreras (D.M.),CR/LFINF+DNO/HEX:4,0.1
AREA # 01090102,José Contreras (D.M.),CR/LFINF+DNO/HEX:5,0.1
AREA # 01090102,José Contreras (D.M.),CR/LFINF+DUC/HEX:2,11.1
AREA # 01090102,José Contreras (D.M.),CR/LFINF+DUC/HEX:3,0.0
AREA # 01090102,José Contreras (D.M.),CR/LFINF+DUC/HEX:4,0.0
AREA # 01090102,José Contreras (D.M.),CR/LFINF+DUC/HEX:5,0.0
AREA # 01090102,José Contreras (D.M.),CR/LFM+DNO/HEX:1,6.7
AREA # 01090102,José Contreras (D.M.),CR/LFM+DNO/HEX:2,14.9
AREA # 01090102,José Contreras (D.M.),MCF/LWAL+DNO/HEX:1,21.6
AREA # 01090102,José Contreras (D.M.),MCF/LWAL+DNO/HEX:2,34.1
AREA # 01090102,José Contreras (D.M.),MCF/LWAL+DNO/HEX:3,0.2
AREA # 01090102,José Contreras (D.M.),MCF/LWAL+DUC/HEX:1,11.4
AREA # 01090102,José Contreras (D.M.),MCF/LWAL+DUC/HEX:2,18.0
AREA # 01090102,José Contreras (D.M.),MCF/LWAL+DUC/HEX:3,0.1
AREA # 01090102,José Contreras (D.M.),MR/LWAL+DNO/HEX:1,21.6
AREA # 01090102,José Contreras (D.M.),MR/LWAL+DNO/HEX:2,34.1
AREA # 01090102,José Contreras (D.M.),MR/LWAL+DNO/HEX:3,0.2
AREA # 01090102,José Contreras (D.M.),MR/LWAL+DUC/HEX:1,11.4
AREA # 01090102,José Contreras (D.M.),MR/LWAL+DUC/HEX:2,17.9
AREA # 01090102,José Contreras (D.M.),MR/LWAL+DUC/HEX:3,0.1
AREA # 01090102,José Contreras (D.M.),MUR/LWAL+DNO/HEX:1,20.7
AREA # 01090102,José Contreras (D.M.),MUR/LWAL+DNO/HEX:2,17.7
