id,Region,Taxonomy,Dwellings
102.0,Santa Catarina Pinula,CR/LFINF+DNO/HEX:2,148.3
102.0,Santa Catarina Pinula,CR/LFINF+DNO/HEX:3,98.9
102.0,Santa Catarina Pinula,CR/LFM+DNO/HEX:1,175.2
102.0,Santa Catarina Pinula,CR/LFM+DNO/HEX:2,25.4
102.0,Santa Catarina Pinula,MCF/LWAL+DNO/HEX:1,494.3
102.0,Santa Catarina Pinula,MCF/LWAL+DNO/HEX:2,247.1
102.0,Santa Catarina Pinula,MCF/LWAL+DNO/HEX:3,148.3
102.0,Santa Catarina Pinula,MR/LWAL+DNO/HEX:1,596.0
102.0,Santa Catarina Pinula,MR/LWAL+DNO/HEX:2,298.0
102.0,Santa Catarina Pinula,MR/LWAL+DNO/HEX:3,124.3
102.0,Santa Catarina Pinula,MUR/LWAL+DNO/HEX:1,1317.2
102.0,Santa Catarina Pinula,MUR/LWAL+DNO/HEX:2,198.9
102.0,Santa Catarina Pinula,UNK/HEX:1,19.0
102.0,Santa Catarina Pinula,W+WBB/LWAL+DNO/HEX:1,60.4
102.0,Santa Catarina Pinula,W+WLI/LDUAL+DNO/HEX:1,545.9
102.0,Santa Catarina Pinula,W+WLI/LDUAL+DNO/HEX:2,92.4
102.0,Santa Catarina Pinula,W+WS/LPB+DNO/HEX:1,22.0
102.0,Santa Catarina Pinula,W+WS/LPB+DNO/HEX:2,22.0
102.0,Santa Catarina Pinula,W+WWD/LWAL+DNO/HEX:1,17.3
103.0,San José Pinula,CR/LFINF+DNO/HEX:2,98.3
103.0,San José Pinula,CR/LFINF+DNO/HEX:3,65.5
103.0,San José Pinula,CR/LFM+DNO/HEX:1,80.9
103.0,San José Pinula,CR/LFM+DNO/HEX:2,5.1
103.0,San José Pinula,MCF/LWAL+DNO/HEX:1,327.6
103.0,San José Pinula,MCF/LWAL+DNO/HEX:2,163.8
103.0,San José Pinula,MCF/LWAL+DNO/HEX:3,98.3
103.0,San José Pinula,MR/LWAL+DNO/HEX:1,348.1
103.0,San José Pinula,MR/LWAL+DNO/HEX:2,174.0
103.0,San José Pinula,MR/LWAL+DNO/HEX:3,70.6
103.0,San José Pinula,MUR/LWAL+DNO/HEX:1,1031.5
103.0,San José Pinula,MUR/LWAL+DNO/HEX:2,142.9
103.0,San José Pinula,UNK/HEX:1,18.1
103.0,San José Pinula,W+WBB/LWAL+DNO/HEX:1,60.2
103.0,San José Pinula,W+WLI/LDUAL+DNO/HEX:1,675.2
103.0,San José Pinula,W+WLI/LDUAL+DNO/HEX:2,96.9
103.0,San José Pinula,W+WS/LPB+DNO/HEX:1,35.9
103.0,San José Pinula,W+WS/LPB+DNO/HEX:2,35.9
103.0,San José Pinula,W+WWD/LWAL+DNO/HEX:1,8.1
104.0,San José del Golfo,CR/LFINF+DNO/HEX:2,13.2
104.0,San José del Golfo,CR/LFINF+DNO/HEX:3,8.8
104.0,San José del Golfo,CR/LFM+DNO/HEX:1,9.6
104.0,San José del Golfo,CR/LFM+DNO/HEX:2,0.3
104.0,San José del Golfo,MCF/LWAL+DNO/HEX:1,44.0
104.0,San José del Golfo,MCF/LWAL+DNO/HEX:2,22.0
104.0,San José del Golfo,MCF/LWAL+DNO/HEX:3,13.2
104.0,San José del Golfo,MR/LWAL+DNO/HEX:1,45.1
104.0,San José del Golfo,MR/LWAL+DNO/HEX:2,22.5
104.0,San José del Golfo,MR/LWAL+DNO/HEX:3,9.1
104.0,San José del Golfo,MUR/LWAL+DNO/HEX:1,196.5
104.0,San José del Golfo,MUR/LWAL+DNO/HEX:2,25.4
104.0,San José del Golfo,UNK/HEX:1,0.9
