id,Region,Taxonomy,Dwellings
101.0,Guatemala,"CR/LDUAL+DUC/HBET:6,10",4877.5
101.0,Guatemala,CR/LFINF+DNO/HEX:4,1951.0
101.0,Guatemala,CR/LFINF+DNO/HEX:5,1951.0
101.0,Guatemala,CR/LFINF+DUC/HEX:2,975.5
101.0,Guatemala,CR/LFINF+DUC/HEX:3,1951.0
101.0,Guatemala,CR/LFINF+DUC/HEX:4,3902.0
101.0,Guatemala,CR/LFINF+DUC/HEX:5,3902.0
101.0,Guatemala,MCF/LWAL+DUC/HEX:1,15424.2
101.0,Guatemala,MCF/LWAL+DUC/HEX:2,4627.3
101.0,Guatemala,MCF/LWAL+DUC/HEX:3,3084.8
101.0,Guatemala,MR/LWAL+DUC/HEX:1,26094.4
101.0,Guatemala,MR/LWAL+DUC/HEX:2,6106.3
101.0,Guatemala,MR/LWAL+DUC/HEX:3,4563.9
101.0,Guatemala,CR/LFINF+DNO/HEX:2,4627.3
101.0,Guatemala,CR/LFINF+DNO/HEX:3,3084.8
101.0,Guatemala,CR/LFM+DNO/HEX:1,7522.0
101.0,Guatemala,CR/LFM+DNO/HEX:2,1479.1
101.0,Guatemala,MCF/LWAL+DNO/HEX:1,15424.2
101.0,Guatemala,MCF/LWAL+DNO/HEX:2,7712.1
101.0,Guatemala,MCF/LWAL+DNO/HEX:3,4627.3
101.0,Guatemala,MR/LWAL+DNO/HEX:1,21340.4
101.0,Guatemala,MR/LWAL+DNO/HEX:2,10670.2
101.0,Guatemala,MR/LWAL+DNO/HEX:3,4563.9
101.0,Guatemala,MUR/LWAL+DNO/HEX:1,48920.9
101.0,Guatemala,MUR/LWAL+DNO/HEX:2,7457.0
101.0,Guatemala,UNK/HEX:1,1297.0
101.0,Guatemala,W+WBB/LWAL+DNO/HEX:1,516.0
101.0,Guatemala,W+WLI/LDUAL+DNO/HEX:1,15685.6
101.0,Guatemala,W+WLI/LDUAL+DNO/HEX:2,3057.0
101.0,Guatemala,W+WS/LPB+DNO/HEX:1,432.2
101.0,Guatemala,W+WS/LPB+DNO/HEX:2,432.2
101.0,Guatemala,W+WWD/LWAL+DNO/HEX:1,391.0
102.0,Santa Catarina Pinula,"CR/LDUAL+DUC/HBET:6,10",107.2
102.0,Santa Catarina Pinula,CR/LFINF+DNO/HEX:4,42.9
102.0,Santa Catarina Pinula,CR/LFINF+DNO/HEX:5,42.9
102.0,Santa Catarina Pinula,CR/LFINF+DUC/HEX:2,21.5
102.0,Santa Catarina Pinula,CR/LFINF+DUC/HEX:3,42.9
102.0,Santa Catarina Pinula,CR/LFINF+DUC/HEX:4,85.8
102.0,Santa Catarina Pinula,CR/LFINF+DUC/HEX:5,85.8
102.0,Santa Catarina Pinula,MCF/LWAL+DUC/HEX:1,1170.5
102.0,Santa Catarina Pinula,MCF/LWAL+DUC/HEX:2,351.2
102.0,Santa Catarina Pinula,MCF/LWAL+DUC/HEX:3,234.1
102.0,Santa Catarina Pinula,MR/LWAL+DUC/HEX:1,1876.2
102.0,Santa Catarina Pinula,MR/LWAL+DUC/HEX:2,411.4
102.0,Santa Catarina Pinula,MR/LWAL+DUC/HEX:3,294.4
102.0,Santa Catarina Pinula,CR/LFINF+DNO/HEX:2,202.9
102.0,Santa Catarina Pinula,CR/LFINF+DNO/HEX:3,135.2
102.0,Santa Catarina Pinula,CR/LFM+DNO/HEX:1,239.6
102.0,Santa Catarina Pinula,CR/LFM+DNO/HEX:2,34.8
102.0,Santa Catarina Pinula,MCF/LWAL+DNO/HEX:1,676.2
