id,Region,Taxonomy,Dwellings
AREA # 0101,LA CEIBA,CR/LFM+DNO/HEX:1,81.9
AREA # 0101,LA CEIBA,CR/LFM+DNO/HEX:2,81.9
AREA # 0101,LA CEIBA,MCF/LWAL+DNO/HEX:1,48.2
AREA # 0101,LA CEIBA,MCF/LWAL+DNO/HEX:2,19.3
AREA # 0101,LA CEIBA,MR/LWAL+DNO/HEX:1,352.6
AREA # 0101,LA CEIBA,MR/LWAL+DNO/HEX:2,76.0
AREA # 0101,LA CEIBA,MR/LWAL+DNO/HEX:3,0.9
AREA # 0101,LA CEIBA,MUR+ADO/LWAL+DNO/HEX:1,198.1
AREA # 0101,LA CEIBA,MUR+ADO/LWAL+DNO/HEX:2,11.1
AREA # 0101,LA CEIBA,MUR+ST/LWAL+DNO/HEX:1,20.0
AREA # 0101,LA CEIBA,MUR/LWAL+DNO/HEX:1,748.3
AREA # 0101,LA CEIBA,MUR/LWAL+DNO/HEX:2,64.0
AREA # 0101,LA CEIBA,UNK/HEX:1,279.0
AREA # 0101,LA CEIBA,W+WLI/LDUAL+DNO/HEX:1,1016.5
AREA # 0101,LA CEIBA,W+WLI/LDUAL+DNO/HEX:2,53.5
AREA # 0101,LA CEIBA,W+WS/LPB+DNO/HEX:1,44.1
AREA # 0101,LA CEIBA,W+WS/LPB+DNO/HEX:2,4.9
AREA # 0101,LA CEIBA,W+WWD/LWAL+DNO/HEX:1,12.7
AREA # 0102,EL PORVENIR,CR/LFM+DNO/HEX:1,67.3
AREA # 0102,EL PORVENIR,CR/LFM+DNO/HEX:2,67.3
AREA # 0102,EL PORVENIR,MCF/LWAL+DNO/HEX:1,29.2
AREA # 0102,EL PORVENIR,MCF/LWAL+DNO/HEX:2,11.7
AREA # 0102,EL PORVENIR,MR/LWAL+DNO/HEX:1,312.0
AREA # 0102,EL PORVENIR,MR/LWAL+DNO/HEX:2,65.9
AREA # 0102,EL PORVENIR,MR/LWAL+DNO/HEX:3,0.0
AREA # 0102,EL PORVENIR,MUR+ADO/LWAL+DNO/HEX:1,14.6
AREA # 0102,EL PORVENIR,MUR+ADO/LWAL+DNO/HEX:2,0.8
AREA # 0102,EL PORVENIR,MUR+ST/LWAL+DNO/HEX:1,23.0
AREA # 0102,EL PORVENIR,MUR/LWAL+DNO/HEX:1,623.7
AREA # 0102,EL PORVENIR,MUR/LWAL+DNO/HEX:2,55.8
