id,Region,Taxonomy,Dwellings
AREA # 0101,LA CEIBA,"CR/LDUAL+DUC/HBET:6,10",1351.3
AREA # 0101,LA CEIBA,CR/LFINF+DNO/HEX:2,2511.6
AREA # 0101,LA CEIBA,CR/LFINF+DNO/HEX:3,2475.7
AREA # 0101,LA CEIBA,CR/LFINF+DNO/HEX:4,2475.7
AREA # 0101,LA CEIBA,CR/LFINF+DNO/HEX:5,1485.4
AREA # 0101,LA CEIBA,CR/LFINF+DUC/HEX:2,902.5
AREA # 0101,LA CEIBA,CR/LFINF+DUC/HEX:3,1805.0
AREA # 0101,LA CEIBA,CR/LFINF+DUC/HEX:4,902.5
AREA # 0101,LA CEIBA,CR/LFINF+DUC/HEX:5,541.5
AREA # 0101,LA CEIBA,MCF/LWAL+DNO/HEX:1,2475.7
AREA # 0101,LA CEIBA,MCF/LWAL+DNO/HEX:2,1237.9
AREA # 0101,LA CEIBA,MCF/LWAL+DNO/HEX:3,1237.9
AREA # 0101,LA CEIBA,MCF/LWAL+DUC/HEX:1,2256.2
AREA # 0101,LA CEIBA,MCF/LWAL+DUC/HEX:2,1353.8
AREA # 0101,LA CEIBA,MCF/LWAL+DUC/HEX:3,451.2
AREA # 0101,LA CEIBA,MR/LWAL+DNO/HEX:1,2673.2
AREA # 0101,LA CEIBA,MR/LWAL+DNO/HEX:2,1387.3
AREA # 0101,LA CEIBA,MR/LWAL+DNO/HEX:3,35.1
AREA # 0101,LA CEIBA,MR/LWAL+DUC/HEX:1,2736.0
AREA # 0101,LA CEIBA,MR/LWAL+DUC/HEX:2,2651.0
AREA # 0101,LA CEIBA,MR/LWAL+DUC/HEX:3,1385.3
AREA # 0101,LA CEIBA,MUR+ADO/LWAL+DNO/HEX:1,325.8
AREA # 0101,LA CEIBA,MUR+ADO/LWAL+DNO/HEX:2,53.4
AREA # 0101,LA CEIBA,MUR+ST/LWAL+DNO/HEX:1,255.0
AREA # 0101,LA CEIBA,MUR/LWAL+DNO/HEX:1,1567.8
AREA # 0101,LA CEIBA,MUR/LWAL+DNO/HEX:2,144.4
AREA # 0101,LA CEIBA,UNK/HEX:1,691.0
AREA # 0101,LA CEIBA,W+WLI/LDUAL+DNO/HEX:1,4597.6
AREA # 0101,LA CEIBA,W+WLI/LDUAL+DNO/HEX:2,811.3
AREA # 0101,LA CEIBA,W+WS/LPB+DNO/HEX:1,216.9
AREA # 0101,LA CEIBA,W+WS/LPB+DNO/HEX:2,24.1
AREA # 0101,LA CEIBA,W+WWD/LWAL+DNO/HEX:1,34.8
AREA # 0102,EL PORVENIR,"CR/LDUAL+DUC/HBET:6,10",116.2
AREA # 0102,EL PORVENIR,CR/LFINF+DNO/HEX:2,234.4
AREA # 0102,EL PORVENIR,CR/LFINF+DNO/HEX:3,232.8
AREA # 0102,EL PORVENIR,CR/LFINF+DNO/HEX:4,232.8
AREA # 0102,EL PORVENIR,CR/LFINF+DNO/HEX:5,139.7
AREA # 0102,EL PORVENIR,CR/LFINF+DUC/HEX:2,57.8
AREA # 0102,EL PORVENIR,CR/LFINF+DUC/HEX:3,115.6
AREA # 0102,EL PORVENIR,CR/LFINF+DUC/HEX:4,57.8
AREA # 0102,EL PORVENIR,CR/LFINF+DUC/HEX:5,34.7
AREA # 0102,EL PORVENIR,MCF/LWAL+DNO/HEX:1,232.8
AREA # 0102,EL PORVENIR,MCF/LWAL+DNO/HEX:2,116.4
AREA # 0102,EL PORVENIR,MCF/LWAL+DNO/HEX:3,116.4
AREA # 0102,EL PORVENIR,MCF/LWAL+DUC/HEX:1,144.5
AREA # 0102,EL PORVENIR,MCF/LWAL+DUC/HEX:2,86.7
AREA # 0102,EL PORVENIR,MCF/LWAL+DUC/HEX:3,28.9
AREA # 0102,EL PORVENIR,MR/LWAL+DNO/HEX:1,240.1
AREA # 0102,EL PORVENIR,MR/LWAL+DNO/HEX:2,123.0
AREA # 0102,EL PORVENIR,MR/LWAL+DNO/HEX:3,0.4
AREA # 0102,EL PORVENIR,MR/LWAL+DUC/HEX:1,240.5
AREA # 0102,EL PORVENIR,MR/LWAL+DUC/HEX:2,239.5
AREA # 0102,EL PORVENIR,MR/LWAL+DUC/HEX:3,122.8
AREA # 0102,EL PORVENIR,MUR+ADO/LWAL+DNO/HEX:1,11.1
AREA # 0102,EL PORVENIR,MUR+ADO/LWAL+DNO/HEX:2,1.8
AREA # 0102,EL PORVENIR,MUR+ST/LWAL+DNO/HEX:1,21.0
AREA # 0102,EL PORVENIR,MUR/LWAL+DNO/HEX:1,40.1
AREA # 0102,EL PORVENIR,MUR/LWAL+DNO/HEX:2,3.1
AREA # 0102,EL PORVENIR,UNK/HEX:1,23.0
AREA # 0102,EL PORVENIR,W+WLI/LDUAL+DNO/HEX:1,232.0
AREA # 0102,EL PORVENIR,W+WLI/LDUAL+DNO/HEX:2,41.0
AREA # 0102,EL PORVENIR,W+WS/LPB+DNO/HEX:1,18.0
AREA # 0102,EL PORVENIR,W+WS/LPB+DNO/HEX:2,2.0
AREA # 0102,EL PORVENIR,W+WWD/LWAL+DNO/HEX:1,1.0
AREA # 0104,JUTIAPA,"CR/LDUAL+DUC/HBET:6,10",27.2
AREA # 0104,JUTIAPA,CR/LFINF+DNO/HEX:2,57.0
AREA # 0104,JUTIAPA,CR/LFINF+DNO/HEX:3,56.5
