id,Region,Taxonomy,Dwellings
AREA # 01,Clarendon,CR/LFINF+DNO/HEX:2,4591.8
AREA # 01,Clarendon,CR/LFINF+DNO/HEX:3,4591.8
AREA # 01,Clarendon,CR/LFINF+DNO/HEX:4,305.5
AREA # 01,Clarendon,CR/LFINF+DNO/HEX:5,305.5
AREA # 01,Clarendon,CR/LFINF+DUC/HEX:2,4591.8
AREA # 01,Clarendon,CR/LFINF+DUC/HEX:3,4591.8
AREA # 01,Clarendon,CR/LFINF+DUC/HEX:4,305.5
AREA # 01,Clarendon,CR/LFINF+DUC/HEX:5,305.5
AREA # 01,Clarendon,CR/LFM+DNO/HEX:1,2864.9
AREA # 01,Clarendon,CR/LFM+DNO/HEX:2,5816.0
AREA # 01,Clarendon,MCF/LWAL+DNO/HEX:1,4604.6
AREA # 01,Clarendon,MCF/LWAL+DNO/HEX:2,4598.2
AREA # 01,Clarendon,MCF/LWAL+DNO/HEX:3,3039.8
AREA # 01,Clarendon,MCF/LWAL+DUC/HEX:1,1857.4
AREA # 01,Clarendon,MCF/LWAL+DUC/HEX:2,1857.4
AREA # 01,Clarendon,MCF/LWAL+DUC/HEX:3,852.4
AREA # 01,Clarendon,MR/LWAL+DNO/HEX:1,5291.7
AREA # 01,Clarendon,MR/LWAL+DNO/HEX:2,5291.7
AREA # 01,Clarendon,MR/LWAL+DNO/HEX:3,3039.8
AREA # 01,Clarendon,MR/LWAL+DUC/HEX:1,1857.4
AREA # 01,Clarendon,MR/LWAL+DUC/HEX:2,1857.4
AREA # 01,Clarendon,MR/LWAL+DUC/HEX:3,852.4
AREA # 01,Clarendon,MUR+ST/LWAL+DNO/HEX:1,58.9
AREA # 01,Clarendon,MUR/LWAL+DNO/HEX:1,5535.5
AREA # 01,Clarendon,MUR/LWAL+DNO/HEX:2,5063.7
AREA # 01,Clarendon,UNK/HEX:1,1067.0
AREA # 01,Clarendon,W+WLI/LDUAL+DNO/HEX:1,2755.6
AREA # 01,Clarendon,W+WLI/LDUAL+DNO/HEX:2,2626.6
AREA # 01,Clarendon,W+WLI/LFM+DNO/HEX:2/SOS,1197.2
AREA # 01,Clarendon,W+WS/LPB+DNO/HEX:1,1656.3
AREA # 01,Clarendon,W+WS/LPB+DNO/HEX:2,1396.9
AREA # 02,Hanover,CR/LFINF+DNO/HEX:2,158.7
AREA # 02,Hanover,CR/LFINF+DNO/HEX:3,158.7
AREA # 02,Hanover,CR/LFINF+DNO/HEX:4,27.1
AREA # 02,Hanover,CR/LFINF+DNO/HEX:5,27.1
AREA # 02,Hanover,CR/LFINF+DUC/HEX:2,158.7
AREA # 02,Hanover,CR/LFINF+DUC/HEX:3,158.7
AREA # 02,Hanover,CR/LFINF+DUC/HEX:4,27.1
AREA # 02,Hanover,CR/LFINF+DUC/HEX:5,27.1
AREA # 02,Hanover,CR/LFM+DNO/HEX:1,258.6
AREA # 02,Hanover,CR/LFM+DNO/HEX:2,378.4
AREA # 02,Hanover,MCF/LWAL+DNO/HEX:1,158.7
AREA # 02,Hanover,MCF/LWAL+DNO/HEX:2,158.7
AREA # 02,Hanover,MCF/LWAL+DNO/HEX:3,92.0
AREA # 02,Hanover,MCF/LWAL+DUC/HEX:1,93.8
AREA # 02,Hanover,MCF/LWAL+DUC/HEX:2,93.8
AREA # 02,Hanover,MCF/LWAL+DUC/HEX:3,40.1
AREA # 02,Hanover,MR/LWAL+DNO/HEX:1,393.2
AREA # 02,Hanover,MR/LWAL+DNO/HEX:2,393.2
AREA # 02,Hanover,MR/LWAL+DNO/HEX:3,92.0
AREA # 02,Hanover,MR/LWAL+DUC/HEX:1,93.8
AREA # 02,Hanover,MR/LWAL+DUC/HEX:2,93.8
AREA # 02,Hanover,MR/LWAL+DUC/HEX:3,40.1
AREA # 02,Hanover,MUR+ST/LWAL+DNO/HEX:1,12.5
AREA # 02,Hanover,MUR/LWAL+DNO/HEX:1,289.7
