id,Region,Taxonomy,Dwellings
AREA # 0505,0505-Jalapa,CR+PC/LWAL+DNO/HEX:1,126.5
AREA # 0505,0505-Jalapa,CR+PC/LWAL+DUC/HEX:1,49.5
AREA # 0505,0505-Jalapa,CR/LFINF+DNO/HEX:2,2.6
AREA # 0505,0505-Jalapa,CR/LFINF+DNO/HEX:3,2.6
AREA # 0505,0505-Jalapa,CR/LFINF+DNO/HEX:4,1.3
AREA # 0505,0505-Jalapa,CR/LFINF+DNO/HEX:5,1.3
AREA # 0505,0505-Jalapa,CR/LFM+DNO/HEX:1,35.4
AREA # 0505,0505-Jalapa,CR/LFM+DNO/HEX:2,2.7
AREA # 0505,0505-Jalapa,MCF/LWAL+DNO/HEX:1,8.8
AREA # 0505,0505-Jalapa,MCF/LWAL+DNO/HEX:2,2.7
AREA # 0505,0505-Jalapa,MCF/LWAL+DNO/HEX:3,1.8
AREA # 0505,0505-Jalapa,MCF/LWAL+DUC/HEX:1,12.4
AREA # 0505,0505-Jalapa,MCF/LWAL+DUC/HEX:2,2.5
AREA # 0505,0505-Jalapa,MCF/LWAL+DUC/HEX:3,1.7
AREA # 0505,0505-Jalapa,MR/LWAL+DNO/HEX:1,63.9
AREA # 0505,0505-Jalapa,MR/LWAL+DNO/HEX:2,13.7
AREA # 0505,0505-Jalapa,MR/LWAL+DNO/HEX:3,12.8
AREA # 0505,0505-Jalapa,MR/LWAL+DUC/HEX:1,8.3
AREA # 0505,0505-Jalapa,MR/LWAL+DUC/HEX:2,2.5
AREA # 0505,0505-Jalapa,MR/LWAL+DUC/HEX:3,1.7
AREA # 0505,0505-Jalapa,MUR+ADO/LWAL+DNO/HEX:1,4020.6
AREA # 0505,0505-Jalapa,MUR+ADO/LWAL+DNO/HEX:2,53.0
AREA # 0505,0505-Jalapa,MUR+ST/LWAL+DNO/HEX:1,1.0
AREA # 0505,0505-Jalapa,MUR/LWAL+DNO/HEX:1,279.6
AREA # 0505,0505-Jalapa,MUR/LWAL+DNO/HEX:2,19.6
AREA # 0505,0505-Jalapa,UNK/HEX:1,181.0
AREA # 0505,0505-Jalapa,W+WBB/LWAL+DNO/HEX:1,89.1
AREA # 0505,0505-Jalapa,W+WLI/LDUAL+DNO/HEX:1,278.4
AREA # 0505,0505-Jalapa,W+WLI/LDUAL+DNO/HEX:2,5.6
AREA # 0505,0505-Jalapa,W+WS/LPB+DNO/HEX:1,77.1
AREA # 0505,0505-Jalapa,W+WS/LPB+DNO/HEX:2,1.9
AREA # 0505,0505-Jalapa,W+WWD/LWAL+DNO/HEX:1,511.4
AREA # 0510,0510-Murra,CR+PC/LWAL+DNO/HEX:1,1.5
AREA # 0510,0510-Murra,CR+PC/LWAL+DUC/HEX:1,0.5
AREA # 0510,0510-Murra,CR/LFINF+DNO/HEX:2,0.1
AREA # 0510,0510-Murra,CR/LFINF+DNO/HEX:3,0.1
AREA # 0510,0510-Murra,CR/LFINF+DNO/HEX:4,0.0
AREA # 0510,0510-Murra,CR/LFINF+DNO/HEX:5,0.0
AREA # 0510,0510-Murra,CR/LFM+DNO/HEX:1,1.6
AREA # 0510,0510-Murra,CR/LFM+DNO/HEX:2,0.1
AREA # 0510,0510-Murra,MCF/LWAL+DNO/HEX:1,0.8
AREA # 0510,0510-Murra,MCF/LWAL+DNO/HEX:2,0.3
AREA # 0510,0510-Murra,MCF/LWAL+DNO/HEX:3,0.2
AREA # 0510,0510-Murra,MCF/LWAL+DUC/HEX:1,1.0
AREA # 0510,0510-Murra,MCF/LWAL+DUC/HEX:2,0.2
AREA # 0510,0510-Murra,MCF/LWAL+DUC/HEX:3,0.1
AREA # 0510,0510-Murra,MR/LWAL+DNO/HEX:1,3.4
AREA # 0510,0510-Murra,MR/LWAL+DNO/HEX:2,0.6
AREA # 0510,0510-Murra,MR/LWAL+DNO/HEX:3,0.5
AREA # 0510,0510-Murra,MR/LWAL+DUC/HEX:1,0.7
AREA # 0510,0510-Murra,MR/LWAL+DUC/HEX:2,0.2
AREA # 0510,0510-Murra,MR/LWAL+DUC/HEX:3,0.1
AREA # 0510,0510-Murra,MUR+ADO/LWAL+DNO/HEX:1,1774.3
AREA # 0510,0510-Murra,MUR+ADO/LWAL+DNO/HEX:2,7.9
AREA # 0510,0510-Murra,MUR+ST/LWAL+DNO/HEX:1,
AREA # 0510,0510-Murra,MUR/LWAL+DNO/HEX:1,12.7
AREA # 0510,0510-Murra,MUR/LWAL+DNO/HEX:2,1.1
AREA # 0510,0510-Murra,UNK/HEX:1,79.0
AREA # 0510,0510-Murra,W+WBB/LWAL+DNO/HEX:1,73.8
AREA # 0510,0510-Murra,W+WLI/LDUAL+DNO/HEX:1,240.0
AREA # 0510,0510-Murra,W+WLI/LDUAL+DNO/HEX:2,3.0
AREA # 0510,0510-Murra,W+WS/LPB+DNO/HEX:1,20.1
AREA # 0510,0510-Murra,W+WS/LPB+DNO/HEX:2,0.1
AREA # 0510,0510-Murra,W+WWD/LWAL+DNO/HEX:1,206.8
AREA # 0515,0515-El Jícaro,CR+PC/LWAL+DNO/HEX:1,0.5
AREA # 0515,0515-El Jícaro,CR+PC/LWAL+DUC/HEX:1,0.5
AREA # 0515,0515-El Jícaro,CR/LFINF+DNO/HEX:2,0.1
AREA # 0515,0515-El Jícaro,CR/LFINF+DNO/HEX:3,0.1
AREA # 0515,0515-El Jícaro,CR/LFINF+DNO/HEX:4,0.0
AREA # 0515,0515-El Jícaro,CR/LFINF+DNO/HEX:5,0.0
AREA # 0515,0515-El Jícaro,CR/LFM+DNO/HEX:1,0.6
AREA # 0515,0515-El Jícaro,CR/LFM+DNO/HEX:2,0.1
AREA # 0515,0515-El Jícaro,MCF/LWAL+DNO/HEX:1,3.7
AREA # 0515,0515-El Jícaro,MCF/LWAL+DNO/HEX:2,1.2
AREA # 0515,0515-El Jícaro,MCF/LWAL+DNO/HEX:3,0.7
AREA # 0515,0515-El Jícaro,MCF/LWAL+DUC/HEX:1,4.4
AREA # 0515,0515-El Jícaro,MCF/LWAL+DUC/HEX:2,0.9
AREA # 0515,0515-El Jícaro,MCF/LWAL+DUC/HEX:3,0.6
AREA # 0515,0515-El Jícaro,MR/LWAL+DNO/HEX:1,24.4
AREA # 0515,0515-El Jícaro,MR/LWAL+DNO/HEX:2,5.9
AREA # 0515,0515-El Jícaro,MR/LWAL+DNO/HEX:3,5.5
AREA # 0515,0515-El Jícaro,MR/LWAL+DUC/HEX:1,2.9
AREA # 0515,0515-El Jícaro,MR/LWAL+DUC/HEX:2,0.9
AREA # 0515,0515-El Jícaro,MR/LWAL+DUC/HEX:3,0.6
AREA # 0515,0515-El Jícaro,MUR+ADO/LWAL+DNO/HEX:1,2884.9
AREA # 0515,0515-El Jícaro,MUR+ADO/LWAL+DNO/HEX:2,40.3
AREA # 0515,0515-El Jícaro,MUR+ST/LWAL+DNO/HEX:1,
AREA # 0515,0515-El Jícaro,MUR/LWAL+DNO/HEX:1,88.5
AREA # 0515,0515-El Jícaro,MUR/LWAL+DNO/HEX:2,8.0
AREA # 0515,0515-El Jícaro,UNK/HEX:1,32.0
AREA # 0515,0515-El Jícaro,W+WBB/LWAL+DNO/HEX:1,11.7
AREA # 0515,0515-El Jícaro,W+WLI/LDUAL+DNO/HEX:1,62.0
AREA # 0515,0515-El Jícaro,W+WLI/LDUAL+DNO/HEX:2,1.0
AREA # 0515,0515-El Jícaro,W+WS/LPB+DNO/HEX:1,17.1
AREA # 0515,0515-El Jícaro,W+WS/LPB+DNO/HEX:2,0.2
AREA # 0515,0515-El Jícaro,W+WWD/LWAL+DNO/HEX:1,369.8
AREA # 0520,0520-San Fernando,CR+PC/LWAL+DNO/HEX:1,6.0
AREA # 0520,0520-San Fernando,CR+PC/LWAL+DUC/HEX:1,6.0
AREA # 0520,0520-San Fernando,CR/LFINF+DNO/HEX:2,3.2
AREA # 0520,0520-San Fernando,CR/LFINF+DNO/HEX:3,3.1
AREA # 0520,0520-San Fernando,CR/LFINF+DNO/HEX:4,1.6
AREA # 0520,0520-San Fernando,CR/LFINF+DNO/HEX:5,1.6
AREA # 0520,0520-San Fernando,CR/LFM+DNO/HEX:1,21.5
AREA # 0520,0520-San Fernando,CR/LFM+DNO/HEX:2,3.2
AREA # 0520,0520-San Fernando,MCF/LWAL+DNO/HEX:1,7.5
