id,Region,Taxonomy,Dwellings
AREA # 0505,0505-Jalapa,CR+PC/LWAL+DNO/HEX:1,2.0
AREA # 0505,0505-Jalapa,CR+PC/LWAL+DUC/HEX:1,112.0
AREA # 0505,0505-Jalapa,"CR/LDUAL+DUC/HBET:6,10",8.8
AREA # 0505,0505-Jalapa,CR/LFINF+DNO/HEX:2,13.8
AREA # 0505,0505-Jalapa,CR/LFINF+DNO/HEX:3,4.4
AREA # 0505,0505-Jalapa,CR/LFINF+DNO/HEX:4,7.7
AREA # 0505,0505-Jalapa,CR/LFINF+DNO/HEX:5,7.7
AREA # 0505,0505-Jalapa,CR/LFINF+DUC/HEX:2,5.5
AREA # 0505,0505-Jalapa,CR/LFINF+DUC/HEX:3,4.4
AREA # 0505,0505-Jalapa,CR/LFINF+DUC/HEX:4,5.5
AREA # 0505,0505-Jalapa,CR/LFINF+DUC/HEX:5,11.0
AREA # 0505,0505-Jalapa,CR/LFM+DNO/HEX:1,14.8
AREA # 0505,0505-Jalapa,CR/LFM+DNO/HEX:2,10.4
AREA # 0505,0505-Jalapa,MCF/LWAL+DNO/HEX:1,61.4
AREA # 0505,0505-Jalapa,MCF/LWAL+DNO/HEX:2,20.5
AREA # 0505,0505-Jalapa,MCF/LWAL+DNO/HEX:3,7.6
AREA # 0505,0505-Jalapa,MCF/LWAL+DUC/HEX:1,39.3
AREA # 0505,0505-Jalapa,MCF/LWAL+DUC/HEX:2,52.4
AREA # 0505,0505-Jalapa,MCF/LWAL+DUC/HEX:3,18.3
AREA # 0505,0505-Jalapa,MR/LWAL+DNO/HEX:1,178.6
AREA # 0505,0505-Jalapa,MR/LWAL+DNO/HEX:2,52.8
AREA # 0505,0505-Jalapa,MR/LWAL+DNO/HEX:3,32.3
AREA # 0505,0505-Jalapa,MR/LWAL+DUC/HEX:1,192.0
AREA # 0505,0505-Jalapa,MR/LWAL+DUC/HEX:2,92.3
AREA # 0505,0505-Jalapa,MR/LWAL+DUC/HEX:3,27.3
AREA # 0505,0505-Jalapa,MUR+ADO/LWAL+DNO/HEX:1,3075.9
AREA # 0505,0505-Jalapa,MUR+ADO/LWAL+DNO/HEX:2,97.4
AREA # 0505,0505-Jalapa,MUR+ST/LWAL+DNO/HEX:1,4.0
AREA # 0505,0505-Jalapa,MUR/LWAL+DNO/HEX:1,179.8
AREA # 0505,0505-Jalapa,MUR/LWAL+DNO/HEX:2,32.3
AREA # 0505,0505-Jalapa,UNK/HEX:1,61.0
AREA # 0505,0505-Jalapa,W+WBB/LWAL+DNO/HEX:1,0.9
AREA # 0505,0505-Jalapa,W+WLI/LDUAL+DNO/HEX:1,106.4
AREA # 0505,0505-Jalapa,W+WLI/LDUAL+DNO/HEX:2,0.6
AREA # 0505,0505-Jalapa,W+WS/LPB+DNO/HEX:1,31.7
AREA # 0505,0505-Jalapa,W+WS/LPB+DNO/HEX:2,1.4
AREA # 0505,0505-Jalapa,W+WWD/LWAL+DNO/HEX:1,460.7
AREA # 0510,0510-Murra,CR+PC/LWAL+DNO/HEX:1,1.0
AREA # 0510,0510-Murra,CR+PC/LWAL+DUC/HEX:1,
AREA # 0510,0510-Murra,"CR/LDUAL+DUC/HBET:6,10",
AREA # 0510,0510-Murra,CR/LFINF+DNO/HEX:2,
AREA # 0510,0510-Murra,CR/LFINF+DNO/HEX:3,
AREA # 0510,0510-Murra,CR/LFINF+DNO/HEX:4,
AREA # 0510,0510-Murra,CR/LFINF+DNO/HEX:5,
AREA # 0510,0510-Murra,CR/LFINF+DUC/HEX:2,
AREA # 0510,0510-Murra,CR/LFINF+DUC/HEX:3,
AREA # 0510,0510-Murra,CR/LFINF+DUC/HEX:4,
AREA # 0510,0510-Murra,CR/LFINF+DUC/HEX:5,
AREA # 0510,0510-Murra,CR/LFM+DNO/HEX:1,
AREA # 0510,0510-Murra,CR/LFM+DNO/HEX:2,
AREA # 0510,0510-Murra,MCF/LWAL+DNO/HEX:1,3.6
AREA # 0510,0510-Murra,MCF/LWAL+DNO/HEX:2,1.0
AREA # 0510,0510-Murra,MCF/LWAL+DNO/HEX:3,0.3
AREA # 0510,0510-Murra,MCF/LWAL+DUC/HEX:1,3.3
