id,Region,Taxonomy,Dwellings
AREA # 010101,BOCAS DEL TORO (CABECERA),CR/LFINF+DNO/HEX:2,1.3
AREA # 010101,BOCAS DEL TORO (CABECERA),CR/LFINF+DNO/HEX:3,1.1
AREA # 010101,BOCAS DEL TORO (CABECERA),CR/LFINF+DNO/HEX:4,0.5
AREA # 010101,BOCAS DEL TORO (CABECERA),CR/LFINF+DNO/HEX:5,0.5
AREA # 010101,BOCAS DEL TORO (CABECERA),MCF/LWAL+DNO/HEX:1,12.6
AREA # 010101,BOCAS DEL TORO (CABECERA),MCF/LWAL+DNO/HEX:2,1.0
AREA # 010101,BOCAS DEL TORO (CABECERA),MCF/LWAL+DNO/HEX:3,3.4
AREA # 010101,BOCAS DEL TORO (CABECERA),MR/LWAL+DNO/HEX:1,50.1
AREA # 010101,BOCAS DEL TORO (CABECERA),MR/LWAL+DNO/HEX:2,5.1
AREA # 010101,BOCAS DEL TORO (CABECERA),MR/LWAL+DNO/HEX:3,6.3
AREA # 010101,BOCAS DEL TORO (CABECERA),MUR+ADO/LWAL+DNO/HEX:1,1.7
AREA # 010101,BOCAS DEL TORO (CABECERA),MUR+ADO/LWAL+DNO/HEX:2,0.1
AREA # 010101,BOCAS DEL TORO (CABECERA),MUR+ST/LWAL+DNO/HEX:1,0.1
AREA # 010101,BOCAS DEL TORO (CABECERA),MUR/LWAL+DNO/HEX:1,0.8
AREA # 010101,BOCAS DEL TORO (CABECERA),MUR/LWAL+DNO/HEX:2,0.0
AREA # 010101,BOCAS DEL TORO (CABECERA),UNK/HEX:1,1.0
AREA # 010101,BOCAS DEL TORO (CABECERA),W+WLI/LDUAL+DNO/HEX:1,322.5
AREA # 010101,BOCAS DEL TORO (CABECERA),W+WLI/LDUAL+DNO/HEX:2,19.4
AREA # 010101,BOCAS DEL TORO (CABECERA),W+WLI/LFM+DNO/HEX:2/SOS,0.2
AREA # 010101,BOCAS DEL TORO (CABECERA),W+WS/LPB+DNO/HEX:1,6.4
AREA # 010101,BOCAS DEL TORO (CABECERA),W+WS/LPB+DNO/HEX:2,0.6
AREA # 010101,BOCAS DEL TORO (CABECERA),W+WWD/LWAL+DNO/HEX:1,0.2
AREA # 010102,BASTIMENTOS,CR/LFM+DNO/HEX:1,0.4
AREA # 010102,BASTIMENTOS,CR/LFM+DNO/HEX:2,0.1
AREA # 010102,BASTIMENTOS,MCF/LWAL+DNO/HEX:1,20.4
AREA # 010102,BASTIMENTOS,MCF/LWAL+DNO/HEX:2,1.7
AREA # 010102,BASTIMENTOS,MCF/LWAL+DNO/HEX:3,1.7
AREA # 010102,BASTIMENTOS,MR/LWAL+DNO/HEX:1,56.3
AREA # 010102,BASTIMENTOS,MR/LWAL+DNO/HEX:2,6.1
AREA # 010102,BASTIMENTOS,MR/LWAL+DNO/HEX:3,2.8
AREA # 010102,BASTIMENTOS,MUR+ADO/LWAL+DNO/HEX:1,2.6
AREA # 010102,BASTIMENTOS,MUR+ADO/LWAL+DNO/HEX:2,0.2
AREA # 010102,BASTIMENTOS,UNK/HEX:1,1.0
AREA # 010102,BASTIMENTOS,W+WLI/LDUAL+DNO/HEX:1,329.4
AREA # 010102,BASTIMENTOS,W+WLI/LDUAL+DNO/HEX:2,18.3
AREA # 010102,BASTIMENTOS,W+WLI/LFM+DNO/HEX:2/SOS,1.0
AREA # 010102,BASTIMENTOS,W+WS/LPB+DNO/HEX:1,6.4
AREA # 010102,BASTIMENTOS,W+WS/LPB+DNO/HEX:2,0.6
AREA # 010102,BASTIMENTOS,W+WWD/LWAL+DNO/HEX:1,0.3
AREA # 010103,CAUCHERO,CR/LFM+DNO/HEX:1,0.4
AREA # 010103,CAUCHERO,CR/LFM+DNO/HEX:2,0.1
AREA # 010103,CAUCHERO,MCF/LWAL+DNO/HEX:1,0.6
