id,Region,Taxonomy,Dwellings
AREA # 010101,BOCAS DEL TORO (CABECERA),"CR/LDUAL+DUC/HBET:6,10",20.4
AREA # 010101,BOCAS DEL TORO (CABECERA),CR/LFINF+DNO/HEX:2,8.1
AREA # 010101,BOCAS DEL TORO (CABECERA),CR/LFINF+DNO/HEX:3,10.8
AREA # 010101,BOCAS DEL TORO (CABECERA),CR/LFINF+DNO/HEX:4,20.3
AREA # 010101,BOCAS DEL TORO (CABECERA),CR/LFINF+DNO/HEX:5,14.9
AREA # 010101,BOCAS DEL TORO (CABECERA),CR/LFINF+DUC/HEX:4,6.8
AREA # 010101,BOCAS DEL TORO (CABECERA),CR/LFINF+DUC/HEX:5,13.6
AREA # 010101,BOCAS DEL TORO (CABECERA),MCF/LWAL+DNO/HEX:1,58.6
AREA # 010101,BOCAS DEL TORO (CABECERA),MCF/LWAL+DNO/HEX:2,19.0
AREA # 010101,BOCAS DEL TORO (CABECERA),MCF/LWAL+DNO/HEX:3,19.0
AREA # 010101,BOCAS DEL TORO (CABECERA),MCF/LWAL+DUC/HEX:1,60.9
AREA # 010101,BOCAS DEL TORO (CABECERA),MCF/LWAL+DUC/HEX:2,17.4
AREA # 010101,BOCAS DEL TORO (CABECERA),MCF/LWAL+DUC/HEX:3,35.8
AREA # 010101,BOCAS DEL TORO (CABECERA),MR/LWAL+DNO/HEX:1,129.0
AREA # 010101,BOCAS DEL TORO (CABECERA),MR/LWAL+DNO/HEX:2,10.8
AREA # 010101,BOCAS DEL TORO (CABECERA),MR/LWAL+DNO/HEX:3,10.8
AREA # 010101,BOCAS DEL TORO (CABECERA),MR/LWAL+DUC/HEX:1,43.8
AREA # 010101,BOCAS DEL TORO (CABECERA),MR/LWAL+DUC/HEX:2,9.6
AREA # 010101,BOCAS DEL TORO (CABECERA),MR/LWAL+DUC/HEX:3,9.6
AREA # 010101,BOCAS DEL TORO (CABECERA),W+WLI/LDUAL+DNO/HEX:1,666.9
AREA # 010101,BOCAS DEL TORO (CABECERA),W+WLI/LDUAL+DNO/HEX:2,240.1
AREA # 010101,BOCAS DEL TORO (CABECERA),W+WLI/LFM+DNO/HEX:2/SOS,0.0
AREA # 010101,BOCAS DEL TORO (CABECERA),W+WS/LPB+DNO/HEX:1,3.6
AREA # 010101,BOCAS DEL TORO (CABECERA),W+WS/LPB+DNO/HEX:2,0.4
