id,Region,Taxonomy,Dwellings
AREA # 0101,AHUACHAPAN,CR/LFINF+DNO/HEX:2,9.1
AREA # 0101,AHUACHAPAN,CR/LFM+DNO/HEX:1,277.1
AREA # 0101,AHUACHAPAN,CR/LFM+DNO/HEX:2,130.4
AREA # 0101,AHUACHAPAN,MCF/LWAL+DNO/HEX:1,44.4
AREA # 0101,AHUACHAPAN,MCF/LWAL+DNO/HEX:2,11.0
AREA # 0101,AHUACHAPAN,MCF/LWAL+DNO/HEX:3,5.4
AREA # 0101,AHUACHAPAN,MR/LWAL+DNO/HEX:1,141.1
AREA # 0101,AHUACHAPAN,MR/LWAL+DNO/HEX:2,123.1
AREA # 0101,AHUACHAPAN,MR/LWAL+DNO/HEX:3,121.3
AREA # 0101,AHUACHAPAN,MUR+ADO/LWAL+DNO/HEX:1,4979.9
AREA # 0101,AHUACHAPAN,MUR+ADO/LWAL+DNO/HEX:2,262.1
AREA # 0101,AHUACHAPAN,MUR/LWAL+DNO/HEX:1,2161.6
AREA # 0101,AHUACHAPAN,MUR/LWAL+DNO/HEX:2,261.6
AREA # 0101,AHUACHAPAN,UNK/HEX:1,154.0
AREA # 0101,AHUACHAPAN,W+WS/LPB+DNO/HEX:1,1052.2
AREA # 0101,AHUACHAPAN,W+WS/LPB+DNO/HEX:2,180.8
AREA # 0101,AHUACHAPAN,W+WWD/LWAL+DNO/HEX:1,412.0
AREA # 0102,APANECA,CR/LFINF+DNO/HEX:2,0.8
AREA # 0102,APANECA,CR/LFM+DNO/HEX:1,32.6
AREA # 0102,APANECA,CR/LFM+DNO/HEX:2,15.0
AREA # 0102,APANECA,MCF/LWAL+DNO/HEX:1,7.6
AREA # 0102,APANECA,MCF/LWAL+DNO/HEX:2,1.8
AREA # 0102,APANECA,MCF/LWAL+DNO/HEX:3,0.8
AREA # 0102,APANECA,MR/LWAL+DNO/HEX:1,15.1
AREA # 0102,APANECA,MR/LWAL+DNO/HEX:2,13.6
AREA # 0102,APANECA,MR/LWAL+DNO/HEX:3,13.4
AREA # 0102,APANECA,MUR+ADO/LWAL+DNO/HEX:1,14.2
AREA # 0102,APANECA,MUR+ADO/LWAL+DNO/HEX:2,0.8
AREA # 0102,APANECA,MUR/LWAL+DNO/HEX:1,245.0
AREA # 0102,APANECA,MUR/LWAL+DNO/HEX:2,29.2
AREA # 0102,APANECA,UNK/HEX:1,23.0
AREA # 0102,APANECA,W+WS/LPB+DNO/HEX:1,587.8
AREA # 0102,APANECA,W+WS/LPB+DNO/HEX:2,110.2
AREA # 0102,APANECA,W+WWD/LWAL+DNO/HEX:1,32.0
AREA # 0103,ATIQUIZAYA,CR/LFINF+DNO/HEX:2,2.2
AREA # 0103,ATIQUIZAYA,CR/LFM+DNO/HEX:1,60.8
AREA # 0103,ATIQUIZAYA,CR/LFM+DNO/HEX:2,28.1
AREA # 0103,ATIQUIZAYA,MCF/LWAL+DNO/HEX:1,14.0
AREA # 0103,ATIQUIZAYA,MCF/LWAL+DNO/HEX:2,3.3
AREA # 0103,ATIQUIZAYA,MCF/LWAL+DNO/HEX:3,1.6
AREA # 0103,ATIQUIZAYA,MR/LWAL+DNO/HEX:1,29.8
AREA # 0103,ATIQUIZAYA,MR/LWAL+DNO/HEX:2,25.8
AREA # 0103,ATIQUIZAYA,MR/LWAL+DNO/HEX:3,25.4
AREA # 0103,ATIQUIZAYA,MUR+ADO/LWAL+DNO/HEX:1,1485.8
AREA # 0103,ATIQUIZAYA,MUR+ADO/LWAL+DNO/HEX:2,78.2
AREA # 0103,ATIQUIZAYA,MUR/LWAL+DNO/HEX:1,489.2
AREA # 0103,ATIQUIZAYA,MUR/LWAL+DNO/HEX:2,55.8
AREA # 0103,ATIQUIZAYA,UNK/HEX:1,59.0
AREA # 0103,ATIQUIZAYA,W+WS/LPB+DNO/HEX:1,180.4
AREA # 0103,ATIQUIZAYA,W+WS/LPB+DNO/HEX:2,50.6
AREA # 0103,ATIQUIZAYA,W+WWD/LWAL+DNO/HEX:1,260.0
AREA # 0104,CONCEPCION DE ATACO,CR/LFINF+DNO/HEX:2,3.0
AREA # 0104,CONCEPCION DE ATACO,CR/LFM+DNO/HEX:1,30.8
AREA # 0104,CONCEPCION DE ATACO,CR/LFM+DNO/HEX:2,15.2
AREA # 0104,CONCEPCION DE ATACO,MCF/LWAL+DNO/HEX:1,1.2
AREA # 0104,CONCEPCION DE ATACO,MCF/LWAL+DNO/HEX:2,0.3
AREA # 0104,CONCEPCION DE ATACO,MCF/LWAL+DNO/HEX:3,0.2
AREA # 0104,CONCEPCION DE ATACO,MR/LWAL+DNO/HEX:1,22.1
AREA # 0104,CONCEPCION DE ATACO,MR/LWAL+DNO/HEX:2,16.1
AREA # 0104,CONCEPCION DE ATACO,MR/LWAL+DNO/HEX:3,15.5
