id,Region,Taxonomy,Dwellings
AREA # 0101,AHUACHAPAN,"CR/LDUAL+DUC/HBET:6,10",11.3
AREA # 0101,AHUACHAPAN,CR/LFINF+DNO/HEX:2,125.6
AREA # 0101,AHUACHAPAN,CR/LFINF+DNO/HEX:3,14.0
AREA # 0101,AHUACHAPAN,CR/LFINF+DNO/HEX:4,5.6
AREA # 0101,AHUACHAPAN,CR/LFINF+DNO/HEX:5,5.6
AREA # 0101,AHUACHAPAN,CR/LFINF+DUC/HEX:2,501.6
AREA # 0101,AHUACHAPAN,CR/LFINF+DUC/HEX:3,0.2
AREA # 0101,AHUACHAPAN,CR/LFINF+DUC/HEX:4,0.1
AREA # 0101,AHUACHAPAN,CR/LFINF+DUC/HEX:5,0.0
AREA # 0101,AHUACHAPAN,MCF/LWAL+DNO/HEX:1,140.2
AREA # 0101,AHUACHAPAN,MCF/LWAL+DNO/HEX:2,70.1
AREA # 0101,AHUACHAPAN,MCF/LWAL+DNO/HEX:3,35.2
AREA # 0101,AHUACHAPAN,MCF/LWAL+DUC/HEX:1,215.1
AREA # 0101,AHUACHAPAN,MCF/LWAL+DUC/HEX:2,105.7
AREA # 0101,AHUACHAPAN,MCF/LWAL+DUC/HEX:3,35.4
AREA # 0101,AHUACHAPAN,MR/LWAL+DNO/HEX:1,3317.8
AREA # 0101,AHUACHAPAN,MR/LWAL+DNO/HEX:2,822.2
AREA # 0101,AHUACHAPAN,MR/LWAL+DNO/HEX:3,814.8
AREA # 0101,AHUACHAPAN,MR/LWAL+DUC/HEX:1,1695.9
AREA # 0101,AHUACHAPAN,MR/LWAL+DUC/HEX:2,807.6
AREA # 0101,AHUACHAPAN,MR/LWAL+DUC/HEX:3,423.1
AREA # 0101,AHUACHAPAN,MUR+ADO/LWAL+DNO/HEX:1,3040.4
AREA # 0101,AHUACHAPAN,MUR+ADO/LWAL+DNO/HEX:2,536.6
AREA # 0101,AHUACHAPAN,MUR/LWAL+DNO/HEX:1,1207.8
AREA # 0101,AHUACHAPAN,MUR/LWAL+DNO/HEX:2,134.2
AREA # 0101,AHUACHAPAN,UNK/HEX:1,188.0
AREA # 0101,AHUACHAPAN,W+WS/LPB+DNO/HEX:1,704.4
AREA # 0101,AHUACHAPAN,W+WS/LPB+DNO/HEX:2,170.5
AREA # 0101,AHUACHAPAN,W+WWD/LWAL+DNO/HEX:1,264.0
AREA # 0102,APANECA,CR/LFINF+DNO/HEX:2,4.5
AREA # 0102,APANECA,CR/LFINF+DUC/HEX:2,28.6
AREA # 0102,APANECA,MCF/LWAL+DNO/HEX:1,7.2
AREA # 0102,APANECA,MCF/LWAL+DNO/HEX:2,3.6
AREA # 0102,APANECA,MCF/LWAL+DNO/HEX:3,1.8
AREA # 0102,APANECA,MCF/LWAL+DUC/HEX:1,10.8
AREA # 0102,APANECA,MCF/LWAL+DUC/HEX:2,5.4
AREA # 0102,APANECA,MCF/LWAL+DUC/HEX:3,1.8
AREA # 0102,APANECA,MR/LWAL+DNO/HEX:1,194.8
AREA # 0102,APANECA,MR/LWAL+DNO/HEX:2,48.1
AREA # 0102,APANECA,MR/LWAL+DNO/HEX:3,47.4
AREA # 0102,APANECA,MR/LWAL+DUC/HEX:1,94.8
AREA # 0102,APANECA,MR/LWAL+DUC/HEX:2,46.8
AREA # 0102,APANECA,MR/LWAL+DUC/HEX:3,23.5
AREA # 0102,APANECA,MUR+ADO/LWAL+DNO/HEX:1,30.6
AREA # 0102,APANECA,MUR+ADO/LWAL+DNO/HEX:2,5.4
AREA # 0102,APANECA,MUR/LWAL+DNO/HEX:1,26.1
AREA # 0102,APANECA,MUR/LWAL+DNO/HEX:2,2.9
AREA # 0102,APANECA,UNK/HEX:1,4.0
AREA # 0102,APANECA,W+WS/LPB+DNO/HEX:1,62.5
AREA # 0102,APANECA,W+WS/LPB+DNO/HEX:2,12.5
AREA # 0102,APANECA,W+WWD/LWAL+DNO/HEX:1,24.0
AREA # 0103,ATIQUIZAYA,"CR/LDUAL+DUC/HBET:6,10",2.6
AREA # 0103,ATIQUIZAYA,CR/LFINF+DNO/HEX:2,23.4
AREA # 0103,ATIQUIZAYA,CR/LFINF+DNO/HEX:3,3.2
AREA # 0103,ATIQUIZAYA,CR/LFINF+DNO/HEX:4,1.3
AREA # 0103,ATIQUIZAYA,CR/LFINF+DNO/HEX:5,1.3
AREA # 0103,ATIQUIZAYA,CR/LFINF+DUC/HEX:2,138.8
AREA # 0103,ATIQUIZAYA,MCF/LWAL+DNO/HEX:1,38.8
AREA # 0103,ATIQUIZAYA,MCF/LWAL+DNO/HEX:2,19.4
AREA # 0103,ATIQUIZAYA,MCF/LWAL+DNO/HEX:3,9.7
AREA # 0103,ATIQUIZAYA,MCF/LWAL+DUC/HEX:1,59.8
AREA # 0103,ATIQUIZAYA,MCF/LWAL+DUC/HEX:2,29.3
AREA # 0103,ATIQUIZAYA,MCF/LWAL+DUC/HEX:3,9.7
AREA # 0103,ATIQUIZAYA,MR/LWAL+DNO/HEX:1,902.8
AREA # 0103,ATIQUIZAYA,MR/LWAL+DNO/HEX:2,224.5
AREA # 0103,ATIQUIZAYA,MR/LWAL+DNO/HEX:3,223.3
AREA # 0103,ATIQUIZAYA,MR/LWAL+DUC/HEX:1,459.7
AREA # 0103,ATIQUIZAYA,MR/LWAL+DUC/HEX:2,222.1
AREA # 0103,ATIQUIZAYA,MR/LWAL+DUC/HEX:3,115.2
AREA # 0103,ATIQUIZAYA,MUR+ADO/LWAL+DNO/HEX:1,1746.7
AREA # 0103,ATIQUIZAYA,MUR+ADO/LWAL+DNO/HEX:2,308.2
AREA # 0103,ATIQUIZAYA,MUR/LWAL+DNO/HEX:1,332.1
AREA # 0103,ATIQUIZAYA,MUR/LWAL+DNO/HEX:2,36.9
AREA # 0103,ATIQUIZAYA,UNK/HEX:1,56.0
AREA # 0103,ATIQUIZAYA,W+WS/LPB+DNO/HEX:1,108.0
AREA # 0103,ATIQUIZAYA,W+WS/LPB+DNO/HEX:2,32.0
AREA # 0103,ATIQUIZAYA,W+WWD/LWAL+DNO/HEX:1,104.0
AREA # 0104,CONCEPCION DE ATACO,"CR/LDUAL+DUC/HBET:6,10",5.5
AREA # 0104,CONCEPCION DE ATACO,CR/LFINF+DNO/HEX:2,34.8
AREA # 0104,CONCEPCION DE ATACO,CR/LFINF+DNO/HEX:3,6.8
AREA # 0104,CONCEPCION DE ATACO,CR/LFINF+DNO/HEX:4,2.7
AREA # 0104,CONCEPCION DE ATACO,CR/LFINF+DNO/HEX:5,2.7
AREA # 0104,CONCEPCION DE ATACO,CR/LFINF+DUC/HEX:2,40.7
AREA # 0104,CONCEPCION DE ATACO,CR/LFINF+DUC/HEX:3,0.2
AREA # 0104,CONCEPCION DE ATACO,CR/LFINF+DUC/HEX:4,0.1
AREA # 0104,CONCEPCION DE ATACO,CR/LFINF+DUC/HEX:5,0.0
