id,Region,Taxonomy,Dwellings
AREA # 01,Corozal,CR/LFINF+DNO/HEX:2,351.5
AREA # 01,Corozal,CR/LFINF+DNO/HEX:3,292.4
AREA # 01,Corozal,CR/LFINF+DNO/HEX:4,58.4
AREA # 01,Corozal,CR/LFINF+DNO/HEX:5,58.4
AREA # 01,Corozal,CR/LFINF+DUC/HEX:2,234.0
AREA # 01,Corozal,CR/LFINF+DUC/HEX:3,233.8
AREA # 01,Corozal,CR/LFINF+DUC/HEX:4,58.4
AREA # 01,Corozal,CR/LFINF+DUC/HEX:5,58.4
AREA # 01,Corozal,CR/LFM+DNO/HEX:1,234.3
AREA # 01,Corozal,CR/LFM+DNO/HEX:2,562.2
AREA # 01,Corozal,MCF/LWAL+DNO/HEX:1,605.8
AREA # 01,Corozal,MCF/LWAL+DNO/HEX:2,605.8
AREA # 01,Corozal,MCF/LWAL+DNO/HEX:3,126.6
AREA # 01,Corozal,MCF/LWAL+DUC/HEX:1,237.9
AREA # 01,Corozal,MCF/LWAL+DUC/HEX:2,237.9
AREA # 01,Corozal,MCF/LWAL+DUC/HEX:3,119.7
AREA # 01,Corozal,MR/LWAL+DNO/HEX:1,243.3
AREA # 01,Corozal,MR/LWAL+DNO/HEX:2,243.3
AREA # 01,Corozal,MR/LWAL+DNO/HEX:3,61.3
AREA # 01,Corozal,MR/LWAL+DUC/HEX:1,118.2
AREA # 01,Corozal,MR/LWAL+DUC/HEX:2,118.2
AREA # 01,Corozal,MR/LWAL+DUC/HEX:3,58.4
AREA # 01,Corozal,MUR/LWAL+DNO/HEX:1,612.6
AREA # 01,Corozal,MUR/LWAL+DNO/HEX:2,604.6
AREA # 01,Corozal,UNK/HEX:1,110.1
AREA # 01,Corozal,W+WLI/LDUAL+DNO/HEX:1,595.8
AREA # 01,Corozal,W+WLI/LDUAL+DNO/HEX:2,482.0
AREA # 01,Corozal,W+WLI/LFM+DNO/HEX:2/SOS,473.0
AREA # 01,Corozal,W+WS/LPB+DNO/HEX:1,363.9
AREA # 01,Corozal,W+WS/LPB+DNO/HEX:2,167.6
AREA # 01,Corozal,W+WWD/LWAL+DNO/HEX:1,892.0
AREA # 02,Orange Walk,CR/LFINF+DNO/HEX:2,328.6
AREA # 02,Orange Walk,CR/LFINF+DNO/HEX:3,273.0
AREA # 02,Orange Walk,CR/LFINF+DNO/HEX:4,54.5
AREA # 02,Orange Walk,CR/LFINF+DNO/HEX:5,54.5
AREA # 02,Orange Walk,CR/LFINF+DUC/HEX:2,218.6
AREA # 02,Orange Walk,CR/LFINF+DUC/HEX:3,218.2
AREA # 02,Orange Walk,CR/LFINF+DUC/HEX:4,54.5
AREA # 02,Orange Walk,CR/LFINF+DUC/HEX:5,54.5
AREA # 02,Orange Walk,CR/LFM+DNO/HEX:1,218.9
AREA # 02,Orange Walk,CR/LFM+DNO/HEX:2,597.2
AREA # 02,Orange Walk,MCF/LWAL+DNO/HEX:1,552.1
AREA # 02,Orange Walk,MCF/LWAL+DNO/HEX:2,552.1
AREA # 02,Orange Walk,MCF/LWAL+DNO/HEX:3,111.7
AREA # 02,Orange Walk,MCF/LWAL+DUC/HEX:1,219.3
AREA # 02,Orange Walk,MCF/LWAL+DUC/HEX:2,219.3
AREA # 02,Orange Walk,MCF/LWAL+DUC/HEX:3,109.9
AREA # 02,Orange Walk,MR/LWAL+DNO/HEX:1,220.6
AREA # 02,Orange Walk,MR/LWAL+DNO/HEX:2,220.6
AREA # 02,Orange Walk,MR/LWAL+DNO/HEX:3,55.5
