id,Region,Taxonomy,Dwellings
AREA # 11,City of Port of Spain,CR/LFINF+DNO/HEX:2,6.7
AREA # 11,City of Port of Spain,CR/LFINF+DNO/HEX:3,12.4
AREA # 11,City of Port of Spain,CR/LFM+DNO/HEX:1,21.4
AREA # 11,City of Port of Spain,CR/LFM+DNO/HEX:2,22.4
AREA # 11,City of Port of Spain,MCF/LWAL+DNO/HEX:1,25.5
AREA # 11,City of Port of Spain,MCF/LWAL+DNO/HEX:2,27.5
AREA # 11,City of Port of Spain,MCF/LWAL+DNO/HEX:3,12.4
AREA # 11,City of Port of Spain,MCF/LWAL+DUC/HEX:1,0.1
AREA # 11,City of Port of Spain,MR/LWAL+DNO/HEX:1,40.8
AREA # 11,City of Port of Spain,MR/LWAL+DNO/HEX:2,56.6
AREA # 11,City of Port of Spain,MR/LWAL+DNO/HEX:3,33.6
AREA # 11,City of Port of Spain,MR/LWAL+DUC/HEX:1,0.2
AREA # 11,City of Port of Spain,MR/LWAL+DUC/HEX:2,1.5
AREA # 11,City of Port of Spain,MR/LWAL+DUC/HEX:3,3.0
AREA # 11,City of Port of Spain,MUR+ADO/LWAL+DNO/HEX:1,0.7
AREA # 11,City of Port of Spain,MUR+ADO/LWAL+DNO/HEX:2,0.2
AREA # 11,City of Port of Spain,MUR/LWAL+DNO/HEX:1,70.1
AREA # 11,City of Port of Spain,MUR/LWAL+DNO/HEX:2,102.2
AREA # 11,City of Port of Spain,UNK/HEX:1,1.0
AREA # 11,City of Port of Spain,W+WLI/LDUAL+DNO/HEX:1,9.8
AREA # 11,City of Port of Spain,W+WLI/LDUAL+DNO/HEX:2,22.7
AREA # 11,City of Port of Spain,W+WLI/LFM+DNO/HEX:2/SOS,9.2
AREA # 11,City of Port of Spain,W+WS/LPB+DNO/HEX:1,9.1
AREA # 11,City of Port of Spain,W+WS/LPB+DNO/HEX:2,15.7
AREA # 11,City of Port of Spain,W+WWD/LWAL+DNO/HEX:1,1.1
AREA # 12,City of San Fernando,CR/LFINF+DNO/HEX:2,10.4
AREA # 12,City of San Fernando,CR/LFINF+DNO/HEX:3,10.8
AREA # 12,City of San Fernando,CR/LFM+DNO/HEX:1,33.7
AREA # 12,City of San Fernando,CR/LFM+DNO/HEX:2,33.9
AREA # 12,City of San Fernando,MCF/LWAL+DNO/HEX:1,38.1
AREA # 12,City of San Fernando,MCF/LWAL+DNO/HEX:2,34.0
AREA # 12,City of San Fernando,MCF/LWAL+DNO/HEX:3,10.8
AREA # 12,City of San Fernando,MR/LWAL+DNO/HEX:1,63.6
AREA # 12,City of San Fernando,MR/LWAL+DNO/HEX:2,76.1
AREA # 12,City of San Fernando,MR/LWAL+DNO/HEX:3,30.4
AREA # 12,City of San Fernando,MR/LWAL+DUC/HEX:2,1.7
AREA # 12,City of San Fernando,MR/LWAL+DUC/HEX:3,3.4
AREA # 12,City of San Fernando,MUR+ADO/LWAL+DNO/HEX:1,0.2
AREA # 12,City of San Fernando,MUR+ADO/LWAL+DNO/HEX:2,0.2
AREA # 12,City of San Fernando,MUR/LWAL+DNO/HEX:1,105.0
AREA # 12,City of San Fernando,MUR/LWAL+DNO/HEX:2,133.9
AREA # 12,City of San Fernando,UNK/HEX:1,3.0
AREA # 12,City of San Fernando,W+WLI/LDUAL+DNO/HEX:1,26.6
AREA # 12,City of San Fernando,W+WLI/LDUAL+DNO/HEX:2,46.9
AREA # 12,City of San Fernando,W+WLI/LFM+DNO/HEX:2/SOS,17.0
AREA # 12,City of San Fernando,W+WS/LPB+DNO/HEX:1,26.7
AREA # 12,City of San Fernando,W+WS/LPB+DNO/HEX:2,32.2
