id,Region,Taxonomy,Dwellings
AREA # 11,City of Port of Spain,CR/LFINF+DNO/HEX:2,132.2
AREA # 11,City of Port of Spain,CR/LFINF+DNO/HEX:3,157.2
AREA # 11,City of Port of Spain,CR/LFINF+DNO/HEX:4,94.4
AREA # 11,City of Port of Spain,CR/LFINF+DNO/HEX:5,94.4
AREA # 11,City of Port of Spain,CR/LFINF+DUC/HEX:2,187.0
AREA # 11,City of Port of Spain,CR/LFINF+DUC/HEX:3,62.9
AREA # 11,City of Port of Spain,CR/LFINF+DUC/HEX:4,31.4
AREA # 11,City of Port of Spain,CR/LFINF+DUC/HEX:5,31.4
AREA # 11,City of Port of Spain,CR/LFM+DNO/HEX:1,157.4
AREA # 11,City of Port of Spain,CR/LFM+DNO/HEX:2,713.6
AREA # 11,City of Port of Spain,MCF/LWAL+DNO/HEX:1,278.5
AREA # 11,City of Port of Spain,MCF/LWAL+DNO/HEX:2,750.2
AREA # 11,City of Port of Spain,MCF/LWAL+DNO/HEX:3,314.5
AREA # 11,City of Port of Spain,MCF/LWAL+DUC/HEX:1,110.7
AREA # 11,City of Port of Spain,MCF/LWAL+DUC/HEX:2,289.4
AREA # 11,City of Port of Spain,MCF/LWAL+DUC/HEX:3,157.2
AREA # 11,City of Port of Spain,MR/LWAL+DNO/HEX:1,923.0
AREA # 11,City of Port of Spain,MR/LWAL+DNO/HEX:2,1424.2
AREA # 11,City of Port of Spain,MR/LWAL+DNO/HEX:3,806.5
AREA # 11,City of Port of Spain,MR/LWAL+DUC/HEX:1,111.8
AREA # 11,City of Port of Spain,MR/LWAL+DUC/HEX:2,313.7
AREA # 11,City of Port of Spain,MR/LWAL+DUC/HEX:3,197.8
AREA # 11,City of Port of Spain,MUR+ADO/LWAL+DNO/HEX:1,17.2
AREA # 11,City of Port of Spain,MUR+ADO/LWAL+DNO/HEX:2,22.2
AREA # 11,City of Port of Spain,MUR/LWAL+DNO/HEX:1,980.0
AREA # 11,City of Port of Spain,MUR/LWAL+DNO/HEX:2,1573.4
AREA # 11,City of Port of Spain,UNK/HEX:1,32.0
AREA # 11,City of Port of Spain,W+WLI/LDUAL+DNO/HEX:1,393.3
AREA # 11,City of Port of Spain,W+WLI/LDUAL+DNO/HEX:2,588.2
AREA # 11,City of Port of Spain,W+WLI/LFM+DNO/HEX:2/SOS,251.3
AREA # 11,City of Port of Spain,W+WS/LPB+DNO/HEX:1,295.6
AREA # 11,City of Port of Spain,W+WS/LPB+DNO/HEX:2,367.8
AREA # 11,City of Port of Spain,W+WWD/LWAL+DNO/HEX:1,43.6
AREA # 12,City of San Fernando,CR/LFINF+DNO/HEX:2,157.5
AREA # 12,City of San Fernando,CR/LFINF+DNO/HEX:3,140.4
AREA # 12,City of San Fernando,CR/LFINF+DNO/HEX:4,84.2
AREA # 12,City of San Fernando,CR/LFINF+DNO/HEX:5,84.2
AREA # 12,City of San Fernando,CR/LFINF+DUC/HEX:2,228.7
AREA # 12,City of San Fernando,CR/LFINF+DUC/HEX:3,56.1
AREA # 12,City of San Fernando,CR/LFINF+DUC/HEX:4,28.1
AREA # 12,City of San Fernando,CR/LFINF+DUC/HEX:5,28.1
